id,name,image
5586,Sticker | JaCkz (Holo) | Antwerp 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/antwerp2022/sig_jackz_holo_large.be01dcdade1ecdd15682388c439caacbbbefe00c.png
5587,Sticker | JaCkz (Gold) | Antwerp 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/antwerp2022/sig_jackz_gold_large.da3dc05fe8af6bbdd76eb685d813062f4e654e01.png
6434,Sticker | FASHR | Rio 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rio2022/sig_fashr_large.0404bdd18761fc68724fa9d36ffffdea302a7c96.png
6435,Sticker | FASHR (Glitter) | Rio 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rio2022/sig_fashr_glitter_large.c7e73d9d002496ef31c2d60356f748001d1bc3d0.png
6436,Sticker | FASHR (Holo) | Rio 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rio2022/sig_fashr_holo_large.6bf177d51e62636bf1986600b7fe77ee2f186626.png
6437,Sticker | FASHR (Gold) | Rio 2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rio2022/sig_fashr_gold_large.03a36d0797ebde00688c56ad6fe622b121507204.png
6733,Sticker | FASHR | Paris 2023,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/paris2023/sig_fashr_large.c38aa0f5831af84fbed3b116dd4be966fff6638a.png
6734,Sticker | FASHR (Glitter) | Paris 2023,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/paris2023/sig_fashr_glitter_large.bb6a9bb3cc262e61463faaed655be8e46552f6a8.png
6735,Sticker | FASHR (Holo) | Paris 2023,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/paris2023/sig_fashr_holo_large.db4f23d3a4c7de3b7b2acd9b4565edc4bd341095.png
6736,Sticker | FASHR (Gold) | Paris 2023,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/paris2023/sig_fashr_gold_large.97adf03c962762e7f2da46108cff219728976d85.png
3314,Sticker | MICHU | London 2018,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/london2018/sig_michu_large.4eb05a8ed822928665039578607a075570b67aba.png
3315,Sticker | MICHU (Foil) | London 2018,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/london2018/sig_michu_foil_large.37c9dd8b9f03e7eeac5b56d67894ad2c623a0b00.png
3316,Sticker | MICHU (Gold) | London 2018,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/london2018/sig_michu_gold_large.62bc050ec9010fa66312a45c1a05e94aa0aec41e.png
334,Sticker | Team EnVyUs | Katowice 2015,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/eslkatowice2015/teamenvyus_large.ecd0526e2cf238b0425e98c4f7bd3c9779f9647b.png
335,Sticker | Team EnVyUs (Holo) | Katowice 2015,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/eslkatowice2015/teamenvyus_holo_large.d1b4eb6649c5eea186a89e9311d56220d66e3b5a.png
336,Sticker | Team EnVyUs (Foil) | Katowice 2015,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/eslkatowice2015/teamenvyus_foil_large.ce5bfaf06443a5a0b8d7edffef56d18bbed2bd99.png
337,Sticker | Team EnVyUs (Gold) | Katowice 2015,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/eslkatowice2015/teamenvyus_gold_large.bd12538f7f17aa755d52c938fdb69da1c63acd55.png
